name,ring,quadrant,isNew,description
Datadog APM,assess,tools,FALSE,Datadog released a private beta version of its new APM tool. We feel the need for deeper insights into our applications and request flows. As it does not support the JVM yet we keep an eye on its future development.
Quixote,assess,tools,TRUE,"Quixote is a library for testing CSS. It's fast—over 100 tests/second—and has a powerful API. You can use it for unit testing (test your CSS files directly) or integration testing (test against a real server). Either way, your tests check how HTML elements are actually rendered by the browser."
Fastlane,assess,tools,TRUE,"<a href=""https://fastlane.tools/"">fastlane</a> is the tool to release your iOS and Android app It handles all tedious tasks, like generating screenshots, dealing with code signing, and releasing your apps"
Bluepill,assess,tools,TRUE,"<a href=""https://github.com/linkedin/bluepill"">Bluepill</a> is a reliable iOS testing tool that runs UI tests using multiple simulators on a single machine."
Pivio.io,assess,tools,TRUE,"<a href=""http://pivio.io/"">Pivio.io</a> is an open-source service registry for humans. It is a small project driven by similar ideas as our metadata driven repository registry. This could be a direction we could evolve our approach to. "
Go CD,hold,tools,FALSE,"Even while GoCD is featured on the ThoughtWorks radar we still see a lot of effort in adding new pipelines. Also missing OAuth support, the missing support of configuration as code and fact that it doesn't scale dynamically are reasons to look for a tool that could handle these issues better."
HTTP/2,adopt,platforms,FALSE,"<a href=""https://http2.github.io/"">HTTP/2</a> is the next revision of HTTP. Improves user perceived latency. Current estimations say that 50% of our users could connect via HTTP/2."
AuthO,adopt,platforms,TRUE,"For us it's important to authenticate users of internal systems against our active directory. Also, 2FA authentication becomes mandatory. Auth0 makes it easy to integrate with, supports all needed protocols and provides custom rules to enrich the authentication flow."
AWS Athena,trial,platforms,TRUE,"<a href=""https://aws.amazon.com/athena/"">AWS Athena</a> is a new AWS service which allows serverless interactive queries to data on S3. We expect that Athena will solve many log analyses issues and data-driven insights without complex Hadoop setups. "
ECS/Infinity,trial,platforms,TRUE,"When it comes to containern orchestration it feels like a gold rush. At Scout24, we decided to use Amazon ECS as it provides a nice integration with IAM, is supported by CloudFormation and makes AutoScaling easy. Teams who don't want to manage their own cluster should look at Infinity, our managed ECS cluster."
Elastic.io,hold,platforms,FALSE,"<a href=""https://www.elastic.io/"">Elastic.io</a> is a PaaS for ElasticSearch. We evaluated different approaches getting ES as a cloud platform service. Due to costs and secure connection strategies we are still working on a general solution."
Codahale Metrics,adopt,languages & frameworks,FALSE,"<a href=""http://metrics.dropwizard.io/"">Dropwizard Metrics</a> (aka Codahale Metrics) allows to easily create custom application-level metrics and export them with JMX to DataDog"
Akka,adopt,languages & frameworks,FALSE,"<a href=""http://akka.io/"">Akka</a> (and related <a href=""http://doc.akka.io/docs/akka/2.5.0/scala/stream/index.html"">akka-streams</a>) is an actor-based library for handling concurrency and implementing reactive programming through a distributed message system. In combination with Akka Persistance / Lagom it can be the basis for event sourced services. ReactiveX also provides a means for reactive programming that has benefits over Akka (proper types, non-Scala clients) so use Akka where it makes sense."
ScalaTest,adopt,languages & frameworks,FALSE,"We choose <a href=""http://www.scalatest.org/"">ScalaTest</a> as our primary Scala testing tool. It's easy to pick up and supports test styles that are familiar to most developers coming from other languages."
Swift,adopt,languages & frameworks,TRUE,"Swift is a powerful and intuitive programming language for iOS, OS X, tvOS, and watchOS"
espresso test,adopt,languages & frameworks,TRUE,Android UI tests
XcuiTest,adopt,languages & frameworks,TRUE,iOS UI tests
Python for Machine Learning,adopt,languages & frameworks,TRUE,"We use <a href=""https://www.python.org/"">Python</a> in many cases for many Machine Learning use cases. Python provides a lot of scalable, state-of-the-art, free and open-source ressources for ML."
Apache Spark for Analytics,adopt,languages & frameworks,TRUE,"<a href=""http://spark.apache.org/"">Apache Spark</a> is a fast and general engine for large-scale data processing. It is replacing the traditional MapReduce paradigm. We use Apache Spark with Hive and SparkSQL as backend for Microstrategy and for most of our deep and explorative analyses."
ReactiveX,adopt,languages & frameworks,FALSE,"<a href=""http://reactivex.io/"">ReactiveX</a> is a set of cross-language Reactive extensions that facilitate <a href=""https://cycle.js.org/streams.html"">reactive programming</a>. It's advantages over other language-specific reactive libraries is unified syntax/logic over all platforms (clients available in all major languages), so knowledge gained in RxJS can be reused in RxScala. It also provides common concepts that are easily understandable across codebases in comparison with custom-logic. Usage is highly encouraged when dealing with data/event streams, or complex async logic. "
Python for automation,adopt,languages & frameworks,FALSE,Python has been already the default language for automation at ImmoScout24 and Scout24. Therefore it makes sense to join our forces (OneScout) and use Python as default language for atuomation and scripting.
Akka Persistence,trial,languages & frameworks,FALSE,"<a href=""http://doc.akka.io/docs/akka/current/scala/persistence.html"">Akka Persistence</a> enables stateful Akka actors, that are backed by an event sourced journal storage. Different storage plugins are available."
Redux,trial,languages & frameworks,FALSE,"Ported from the <a href=""http://elm-lang.org/"">elm</a> language, <a href="""">Redux</a> is the standard for state-managment in the JS world. It allows for very clear top-down one-way data flow, state tracking, and isolated side-effects, together with amazing developer tools (i.e <a herf=""https://github.com/zalmoxisus/remote-redux-devtools"">remote devtools</a>, <a href=""https://www.youtube.com/watch?v=xsSnOQynTHs"">Time travel</a>, <a href=""https://logrocket.com/"">Bug reporting</a>). Use is highly encouraged in any JS SPA, specially in combination with React."
Apache Avro and Schema Registry,trial,languages & frameworks,FALSE,"Use <a href=""https://avro.apache.org/"">Avro</a> as default serialisation for Kafka streams. The <a href=""http://docs.confluent.io/3.0.0/schema-registry/docs/"">Avro schema registry</a> takes care that everybody sticks to the schema and keeps it compatible."
Typescript,trial,languages & frameworks,TRUE,"<a href=""https://www.typescriptlang.org/"">TypeScript</a> provides a modern type system on top of Javascript, allowing for safer code, easier refactoring and great IDE experience compared to plain JS. It is arguably the standard for any ""complex"" project (i.e. AngularJS, RxJS, ImmutableJS). In the context of autoscout24 where developers already use strongly-typed languages such as Scala o C#, adoption is extremely encouraged since it should be easy to pick up and provides big benefits."
GO Lang for Microservices,assess,languages & frameworks,FALSE,In the world of containers and microservices more and more companies are using Go to build their services. It's leightweight footprint and the absence of JIT-compilation make it an ideal candidate for use in a container. On the other hand it might lack some features and tools needed for web development. We should keep an eye on the development in the community.
Lagom,assess,languages & frameworks,FALSE,"Reactive, eventsourced and CQRS based microservices on the Lightbend stack. Could be an extension of our Lightbend Play stack for microservices that are writing. See also Akka and Akka Persistence, which is part of <a href=""https://www.lightbend.com/lagom"">Lagom</a>"
GraphQL,assess,languages & frameworks,FALSE,"<a href=""http://graphql.org/"">GraphQL</a> is a data query language for APIs. It originates from Facebook and allows the client to specify what should be returned as response. For the first set of APIs we decided to work with a simpler ""one size fits all"" model."
React Native,assess,languages & frameworks,TRUE,"<a href=""https://facebook.github.io/react-native/"">React Native</a> is a ""framework"" for building full/hybrid native mobile apps using JS and the React ecosystem. In the context of autoscout24 ""mobile-first"" approach and mobile/web team integration, it's looking very promising as an alternative to separate iOS/Android codebases, allowing teams to code independently in JS within the existing native apps and having unified logic/techniques for Web/iOS/Android. An upcoming POC will shed more light on the topic"
C#,hold,languages & frameworks,FALSE,AutoScout's move to the Linux OS is contradictory to continue using C#. Even with Mono being available we believe that the JVM is a better choice due to it's broader adoption on Linux
Ruby for automation and scripting,hold,languages & frameworks,FALSE,"While ruby is still the common language for automation at AutoScout24, we believe we should join our forces (OneScout) and have only Python as default language for automation and scripting. This does not mean to change all existing tools and scripts, but new services should have a good reason to not use Python."
Objective C,hold,languages & frameworks,TRUE,"Objective-C is the old language to create iPhone, iPad, and Mac apps"
Pact CDC,hold,languages & frameworks,FALSE,"Define a <a href=""https://github.com/realestate-com-au/pact"">pact</a> between service consumers and providers, enabling 'consumer driven contract' testing. During our trial we learned that Pact CDC is cumbersome without also introducing Pact Broker."
